,target_id,target_name,outcome_id,outcome_name,episodic,chronic
1,1780,[DaSH] Prostate cancer,1789,[DaSH] RP,0,1
2,1780,[DaSH] Prostate cancer,1790,[DaSH] Radiotherapy,0,1
3,1780,[DaSH] Prostate cancer,1791,[DaSH] Focal therapy,0,1
4,1780,[DaSH] Prostate cancer,1792,[DaSH] ADT,0,1
5,1780,[DaSH] Prostate cancer,1795,[DaSH] Chemo,0,1
6,1780,[DaSH] Prostate cancer,1797,[DaSH] Metastasis,0,1
7,1780,[DaSH] Prostate cancer,1798,[DaSH] Metastasis to bones,0,1
8,1780,[DaSH] Prostate cancer,1799,[DaSH] Metastasis to lymph nodes,0,1
9,1780,[DaSH] Prostate cancer,1800,[DaSH] Metastasis to other visceral,0,1
10,1780,[DaSH] Prostate cancer,1802,[DaSH] Death,0,1
11,1780,[DaSH] Prostate cancer,1803,[DaSH] Urinary retention,1,0
12,1780,[DaSH] Prostate cancer,1804,[DaSH] Urinary Incontinence,1,0
13,1780,[DaSH] Prostate cancer,1805,[DaSH] Urinary tract infections,1,0
14,1780,[DaSH] Prostate cancer,1807,[DaSH] Radiation procititis,1,0
15,1780,[DaSH] Prostate cancer,1808,[DaSH] Neutropenia,1,0
16,1780,[DaSH] Prostate cancer,1809,[DaSH] Hospitalization,1,0
17,1781,[DaSH] Prostate cancer Active surveillance,1789,[DaSH] RP,0,1
18,1781,[DaSH] Prostate cancer Active surveillance,1790,[DaSH] Radiotherapy,0,1
19,1781,[DaSH] Prostate cancer Active surveillance,1791,[DaSH] Focal therapy,0,1
20,1781,[DaSH] Prostate cancer Active surveillance,1792,[DaSH] ADT,0,1
21,1781,[DaSH] Prostate cancer Active surveillance,1795,[DaSH] Chemo,0,1
22,1781,[DaSH] Prostate cancer Active surveillance,1797,[DaSH] Metastasis,0,1
23,1781,[DaSH] Prostate cancer Active surveillance,1798,[DaSH] Metastasis to bones,0,1
24,1781,[DaSH] Prostate cancer Active surveillance,1799,[DaSH] Metastasis to lymph nodes,0,1
25,1781,[DaSH] Prostate cancer Active surveillance,1800,[DaSH] Metastasis to other visceral,0,1
26,1781,[DaSH] Prostate cancer Active surveillance,1802,[DaSH] Death,0,1
27,1781,[DaSH] Prostate cancer Active surveillance,1803,[DaSH] Urinary retention,1,0
28,1781,[DaSH] Prostate cancer Active surveillance,1804,[DaSH] Urinary Incontinence,1,0
29,1781,[DaSH] Prostate cancer Active surveillance,1805,[DaSH] Urinary tract infections,1,0
30,1781,[DaSH] Prostate cancer Active surveillance,1807,[DaSH] Radiation procititis,1,0
31,1781,[DaSH] Prostate cancer Active surveillance,1808,[DaSH] Neutropenia,1,0
32,1781,[DaSH] Prostate cancer Active surveillance,1809,[DaSH] Hospitalization,1,0
33,1782,[DaSH] Prostate cancer + RP,1789,[DaSH] RP,0,1
34,1782,[DaSH] Prostate cancer + RP,1790,[DaSH] Radiotherapy,0,1
35,1782,[DaSH] Prostate cancer + RP,1791,[DaSH] Focal therapy,0,1
36,1782,[DaSH] Prostate cancer + RP,1792,[DaSH] ADT,0,1
37,1782,[DaSH] Prostate cancer + RP,1795,[DaSH] Chemo,0,1
38,1782,[DaSH] Prostate cancer + RP,1797,[DaSH] Metastasis,0,1
39,1782,[DaSH] Prostate cancer + RP,1798,[DaSH] Metastasis to bones,0,1
40,1782,[DaSH] Prostate cancer + RP,1799,[DaSH] Metastasis to lymph nodes,0,1
41,1782,[DaSH] Prostate cancer + RP,1800,[DaSH] Metastasis to other visceral,0,1
42,1782,[DaSH] Prostate cancer + RP,1802,[DaSH] Death,0,1
43,1782,[DaSH] Prostate cancer + RP,1803,[DaSH] Urinary retention,1,0
44,1782,[DaSH] Prostate cancer + RP,1804,[DaSH] Urinary Incontinence,1,0
45,1782,[DaSH] Prostate cancer + RP,1805,[DaSH] Urinary tract infections,1,0
46,1782,[DaSH] Prostate cancer + RP,1807,[DaSH] Radiation procititis,1,0
47,1782,[DaSH] Prostate cancer + RP,1808,[DaSH] Neutropenia,1,0
48,1782,[DaSH] Prostate cancer + RP,1809,[DaSH] Hospitalization,1,0
49,1783,[DaSH] Prostate cancer + Radiotherapy,1789,[DaSH] RP,0,1
50,1783,[DaSH] Prostate cancer + Radiotherapy,1790,[DaSH] Radiotherapy,0,1
51,1783,[DaSH] Prostate cancer + Radiotherapy,1791,[DaSH] Focal therapy,0,1
52,1783,[DaSH] Prostate cancer + Radiotherapy,1792,[DaSH] ADT,0,1
53,1783,[DaSH] Prostate cancer + Radiotherapy,1795,[DaSH] Chemo,0,1
54,1783,[DaSH] Prostate cancer + Radiotherapy,1797,[DaSH] Metastasis,0,1
55,1783,[DaSH] Prostate cancer + Radiotherapy,1798,[DaSH] Metastasis to bones,0,1
56,1783,[DaSH] Prostate cancer + Radiotherapy,1799,[DaSH] Metastasis to lymph nodes,0,1
57,1783,[DaSH] Prostate cancer + Radiotherapy,1800,[DaSH] Metastasis to other visceral,0,1
58,1783,[DaSH] Prostate cancer + Radiotherapy,1802,[DaSH] Death,0,1
59,1783,[DaSH] Prostate cancer + Radiotherapy,1803,[DaSH] Urinary retention,1,0
60,1783,[DaSH] Prostate cancer + Radiotherapy,1804,[DaSH] Urinary Incontinence,1,0
61,1783,[DaSH] Prostate cancer + Radiotherapy,1805,[DaSH] Urinary tract infections,1,0
62,1783,[DaSH] Prostate cancer + Radiotherapy,1807,[DaSH] Radiation procititis,1,0
63,1783,[DaSH] Prostate cancer + Radiotherapy,1808,[DaSH] Neutropenia,1,0
64,1783,[DaSH] Prostate cancer + Radiotherapy,1809,[DaSH] Hospitalization,1,0
65,1784,[DaSH] Prostate cancer + Focal therapy,1789,[DaSH] RP,0,1
66,1784,[DaSH] Prostate cancer + Focal therapy,1790,[DaSH] Radiotherapy,0,1
67,1784,[DaSH] Prostate cancer + Focal therapy,1791,[DaSH] Focal therapy,0,1
68,1784,[DaSH] Prostate cancer + Focal therapy,1792,[DaSH] ADT,0,1
69,1784,[DaSH] Prostate cancer + Focal therapy,1795,[DaSH] Chemo,0,1
70,1784,[DaSH] Prostate cancer + Focal therapy,1797,[DaSH] Metastasis,0,1
71,1784,[DaSH] Prostate cancer + Focal therapy,1798,[DaSH] Metastasis to bones,0,1
72,1784,[DaSH] Prostate cancer + Focal therapy,1799,[DaSH] Metastasis to lymph nodes,0,1
73,1784,[DaSH] Prostate cancer + Focal therapy,1800,[DaSH] Metastasis to other visceral,0,1
74,1784,[DaSH] Prostate cancer + Focal therapy,1802,[DaSH] Death,0,1
75,1784,[DaSH] Prostate cancer + Focal therapy,1803,[DaSH] Urinary retention,1,0
76,1784,[DaSH] Prostate cancer + Focal therapy,1804,[DaSH] Urinary Incontinence,1,0
77,1784,[DaSH] Prostate cancer + Focal therapy,1805,[DaSH] Urinary tract infections,1,0
78,1784,[DaSH] Prostate cancer + Focal therapy,1807,[DaSH] Radiation procititis,1,0
79,1784,[DaSH] Prostate cancer + Focal therapy,1808,[DaSH] Neutropenia,1,0
80,1784,[DaSH] Prostate cancer + Focal therapy,1809,[DaSH] Hospitalization,1,0
81,1785,[DaSH] Prostate cancer + ADT,1789,[DaSH] RP,0,1
82,1785,[DaSH] Prostate cancer + ADT,1790,[DaSH] Radiotherapy,0,1
83,1785,[DaSH] Prostate cancer + ADT,1791,[DaSH] Focal therapy,0,1
84,1785,[DaSH] Prostate cancer + ADT,1792,[DaSH] ADT,0,1
85,1785,[DaSH] Prostate cancer + ADT,1795,[DaSH] Chemo,0,1
86,1785,[DaSH] Prostate cancer + ADT,1797,[DaSH] Metastasis,0,1
87,1785,[DaSH] Prostate cancer + ADT,1798,[DaSH] Metastasis to bones,0,1
88,1785,[DaSH] Prostate cancer + ADT,1799,[DaSH] Metastasis to lymph nodes,0,1
89,1785,[DaSH] Prostate cancer + ADT,1800,[DaSH] Metastasis to other visceral,0,1
90,1785,[DaSH] Prostate cancer + ADT,1802,[DaSH] Death,0,1
91,1785,[DaSH] Prostate cancer + ADT,1803,[DaSH] Urinary retention,1,0
92,1785,[DaSH] Prostate cancer + ADT,1804,[DaSH] Urinary Incontinence,1,0
